user_id,minutes_viewed,ml_ouput
388,1,
389,65,
390,4,
391,4,
392,2055,
393,311,
394,34,
395,171,
396,224,
397,11,
398,498,
399,11,
400,1,
401,83,
402,163,
403,321,
405,2,
406,233,
407,36,
409,1,
410,1055,
411,225,
412,8,
413,1,
414,3,
415,227,
416,356,
417,2,
418,230,
419,2,
420,56,
421,2,
422,2,
423,1,
424,645,
425,0,
426,71,
427,0,
428,117,
429,4,
431,138,
432,0,
433,1,
434,99,
436,48,
437,912,
439,452,
440,1,
441,0,
445,0,
446,2,
447,173,
448,215,
449,91,
450,1599,
451,50,
452,2,
453,12,
454,587,
455,728,
456,2,
457,306,
459,7,
460,5,
461,142,
462,232,
463,1,
464,201,
465,62,
466,22,
467,31,
468,0,
470,1,
471,3,
472,0,
473,0,
474,41,
476,0,
477,270,
478,742,
479,7,
480,30,
481,38,
482,21,
483,934,
485,7,
486,29,
487,1332,
488,0,
489,854,
490,1,
492,361,
493,1,
494,11,
495,1,
496,400,
497,1,
498,8,
499,117,
500,16,
501,9,
502,4,
503,0,
504,30,
505,61,
506,6,
507,84,
508,613,
509,543,
510,111,
511,3,
512,355,
513,23,
514,343,
515,46,
516,6,
517,87,
518,336,
519,29,
520,555,
521,179,
523,0,
524,0,
525,30,
526,180,
527,101,
528,661,
529,0,
530,42,
531,89,
532,15,
534,0,
535,181,
536,105,
537,1,
538,6,
539,2,
540,1,
541,14,
542,5,
543,57,
544,1,
545,16,
547,241,
548,34,
549,66,
550,0,
551,1,
552,6,
553,1,
555,1,
556,15,
557,14,
558,3,
559,5,
560,50,
561,1,
562,51,
563,10,
564,10,
565,0,
567,0,
568,0,
569,298,
570,1,
571,146,
572,1,
8589934592,2026,
8589934594,12,
8589934595,636,
8589934596,359,
8589934597,580,
8589934599,1,
8589934602,181,
8589934603,491,
8589934605,13,
8589934606,1,
8589934608,4267,
8589934610,0,
8589934611,0,
8589934612,1,
8589934613,1,
8589934614,3,
8589934616,64,
8589934617,0,
8589934619,0,
8589934620,657,
8589934621,92,
8589934622,172,
8589934623,346,
8589934624,526,
8589934626,2,
8589934627,1,
8589934630,25,
8589934631,3,
8589934633,129,
8589934634,2,
8589934636,10,
8589934637,10,
8589934638,31,
8589934639,202,
8589934640,379,
8589934641,178,
8589934643,5,
8589934644,176,
8589934645,13,
8589934646,296,
8589934647,24,
8589934648,279,
8589934649,831,
8589934651,88,
8589934653,1612,
8589934654,0,
8589934655,1,
8589934657,31,
8589934659,2743,
8589934660,49,
8589934661,142,
8589934663,8,
8589934664,1,
8589934666,242,
8589934667,1316,
8589934669,541,
8589934670,175,
8589934673,235,
8589934674,0,
8589934677,170,
8589934678,282,
8589934679,0,
8589934680,254,
8589934682,1882,
8589934683,51,
8589934684,68,
8589934685,0,
8589934686,162,
8589934687,2469,
8589934688,953,
8589934689,187,
8589934690,110,
8589934691,175,
8589934692,4508,
8589934693,0,
8589934694,0,
8589934696,26,
8589934697,1418,
8589934699,9,
8589934700,90,
8589934701,0,
8589934702,491,
8589934703,0,
8589934705,831,
8589934706,120,
8589934708,35,
8589934709,753,
8589934710,1,
8589934711,0,
8589934712,446,
8589934713,288,
8589934715,1497,
8589934716,3,
8589934717,0,
8589934718,0,
8589934719,0,
8589934720,335,
8589934721,218,
8589934723,206,
8589934725,261,
8589934726,66,
8589934728,0,
8589934729,0,
8589934730,1404,
8589934733,106,
8589934735,1012,
8589934736,106,
8589934738,61,
8589934739,34,
8589934740,22,
8589934741,282,
8589934743,69,
8589934744,25,
8589934745,3,
8589934747,2,
8589934748,12,
8589934749,60,
8589934750,462,
8589934752,281,
8589934754,381,
8589934756,1266,
8589934757,0,
8589934758,101,
8589934759,97,
8589934760,188,
8589934761,100,
8589934763,70,
8589934764,6,
8589934765,63,
8589934767,8,
8589934768,76,
8589934770,21,
8589934772,101,
8589934774,0,
8589934775,1344,
8589934777,0,
8589934778,25,
8589934779,144,
8589934781,0,
8589934782,19,
8589934783,6,
8589934784,0,
8589934785,0,
8589934786,3,
8589934788,239,
8589934790,218,
8589934791,3,
8589934792,968,
8589934793,0,
8589934794,398,
8589934796,0,
8589934798,23,
8589934799,881,
8589934801,1,
8589934803,550,
8589934804,1132,
8589934805,50,
8589934806,310,
8589934807,21,
8589934808,2447,
8589934811,0,
8589934812,0,
8589934813,73,
8589934815,32,
8589934816,0,
8589934817,1,
8589934818,3,
8589934820,262,
8589934822,168,
8589934823,192,
8589934824,438,
8589934825,83,
8589934826,4,
8589934827,1,
8589934829,64,
8589934830,108,
8589934832,828,
8589934834,48,
8589934835,323,
8589934836,92,
8589934837,715,
8589934838,401,
8589934839,13,
8589934840,99,
8589934841,202,
8589934842,8,
8589934843,30,
8589934844,2,
8589934845,6,
8589934846,1,
8589934847,5,
8589934848,28,
8589934849,178,
8589934850,0,
8589934851,79,
8589934852,0,
8589934853,435,
8589934854,206,
8589934855,69,
8589934856,0,
8589934857,0,
8589934858,41,
8589934859,854,
8589934860,4,
8589934861,3,
8589934862,84,
8589934863,0,
8589934864,32,
8589934866,71,
8589934867,0,
8589934868,118,
8589934869,1088,
8589934870,1053,
8589934871,1,
8589934872,38,
8589934873,99,
8589934874,554,
8589934875,11,
8589934876,96,
8589934878,49,
8589934879,116,
8589934881,163,
8589934882,40,
8589934883,1,
8589934884,56,
8589934885,96,
8589934886,185,
8589934887,21,
8589934888,162,
8589934890,367,
8589934891,24,
8589934892,2,
8589934893,39,
8589934894,1416,
8589934896,11,
8589934897,694,
8589934898,8,
8589934899,1,
8589934900,25,
8589934902,101,
8589934903,9,
8589934904,2,
8589934906,1,
8589934907,1136,
8589934908,12,
8589934909,8,
8589934910,239,
8589934911,142,
8589934915,19,
8589934916,149,
8589934917,127,
8589934918,254,
8589934919,4,
8589934921,2,
8589934922,140,
8589934923,419,
8589934925,1,
8589934926,741,
8589934927,14,
8589934929,938,
8589934930,67,
8589934931,240,
8589934932,5,
8589934933,0,
8589934934,309,
8589934935,181,
8589934936,2,
8589934937,3,
8589934938,2,
8589934939,487,
8589934940,13,
8589934941,25,
8589934942,36,
8589934943,7,
8589934944,469,
8589934945,9,
8589934946,2,
8589934947,62,
8589934948,4,
8589934949,10,
8589934950,1,
8589934951,0,
8589934952,113,
8589934953,3,
8589934954,1,
8589934955,0,
8589934956,0,
8589934957,7,
8589934958,11,
8589934959,0,
8589934960,118,
8589934961,0,
8589934962,1,
8589934963,6,
8589934964,1,
8589934966,15,
8589934968,8,
8589934969,117,
8589934970,11,
8589934971,8,
8589934972,169,
8589934973,0,
8589934975,211,
8589934976,19,
8589934978,23,
8589934979,0,
8589934980,543,
8589934981,1532,
8589934982,94,
8589934983,613,
8589934984,2,
8589934986,209,
8589934987,1,
8589934988,88,
8589934989,15,
8589934991,430,
8589934992,0,
8589934995,2,
8589934996,30,
8589934997,10,
8589934998,207,
8589934999,15,
8589935000,21,
8589935001,0,
8589935002,406,
8589935004,1810,
8589935006,3,
8589935007,103,
8589935008,36,
8589935009,1,
8589935010,1703,
8589935011,1,
8589935013,2,
8589935014,70,
8589935015,115,
8589935016,4,
8589935017,1,
8589935018,108,
8589935019,11,
8589935020,1,
8589935021,483,
8589935023,41,
8589935024,0,
8589935025,4,
8589935026,132,
8589935027,0,
8589935028,106,
8589935029,7,
8589935031,47,
8589935032,206,
8589935033,201,
8589935034,17,
8589935035,1,
8589935036,31,
8589935037,254,
8589935038,16,
8589935039,1,
8589935040,9,
8589935041,3,
8589935042,377,
8589935043,1,
8589935044,11,
8589935045,0,
8589935046,276,
8589935047,107,
8589935048,32,
8589935050,1,
8589935051,32,
8589935052,4,
8589935053,175,
8589935054,1,
8589935055,0,
8589935056,405,
8589935057,38,
8589935058,1,
8589935059,77,
8589935060,39,
8589935061,1,
8589935062,27,
8589935063,4,
8589935064,291,
8589935065,11,
8589935066,58,
8589935067,223,
8589935068,128,
8589935069,272,
8589935070,0,
8589935071,11,
8589935074,0,
8589935075,41,
8589935076,15,
8589935077,61,
8589935078,49,
8589935079,2,
8589935080,80,
8589935081,535,
8589935083,34,
8589935084,3,
8589935085,19,
8589935088,229,
8589935089,1,
8589935090,1,
8589935091,4,
8589935092,130,
8589935093,164,
8589935094,593,
8589935095,15,
8589935096,106,
8589935097,345,
8589935098,4,
8589935099,0,
8589935100,0,
8589935101,1,
8589935102,1,
8589935103,134,
8589935104,828,
8589935105,4,
8589935106,0,
8589935107,6,
8589935108,1,
8589935109,5,
8589935110,11,
8589935111,2,
8589935112,2,
8589935113,102,
8589935114,37,
8589935115,23,
8589935116,15,
8589935117,311,
8589935118,1,
8589935119,1,
8589935120,210,
8589935122,1,
8589935123,154,
8589935124,0,
8589935125,451,
8589935126,15,
8589935127,0,
8589935129,24,
8589935131,62,
8589935132,7,
8589935133,1,
8589935134,96,
8589935136,3,
8589935137,17,
8589935138,0,
8589935139,2,
8589935140,26,
8589935142,18,
8589935145,4,
8589935146,585,
8589935147,8,
8589935148,10,
8589935149,179,
8589935150,439,
8589935151,1,
8589935152,35,
8589935154,7,
8589935155,2,
8589935156,48,
8589935158,37,
8589935159,5,
8589935160,0,
8589935161,2,
8589935162,391,
8589935163,94,
8589935164,0,
8589935165,16,
8589935166,81,
8589935167,5,
8589935169,2,
8589935170,40,
8589935171,265,
8589935172,3,
8589935173,0,
8589935174,35,
8589935175,1,
8589935176,92,
8589935177,8,
8589935178,155,
8589935179,7,
8589935180,37,
8589935181,0,
8589935182,4,
17179869184,101,
17179869185,103,
17179869186,892,
17179869187,98,
17179869188,23,
17179869189,159,
17179869190,29,
17179869192,1826,
17179869194,203,
17179869197,78,
17179869199,1603,
17179869200,411,
17179869202,41,
17179869203,88,
17179869204,20,
17179869205,229,
17179869207,22,
17179869208,496,
17179869209,99,
17179869212,1,
17179869213,103,
17179869215,5,
17179869216,120,
17179869217,0,
17179869218,875,
17179869220,28,
17179869221,303,
17179869222,157,
17179869223,7,
17179869224,1,
17179869225,579,
17179869226,2,
17179869227,745,
17179869228,838,
17179869229,233,
17179869231,185,
17179869232,174,
17179869234,169,
17179869236,1,
17179869237,0,
17179869239,80,
17179869240,40,
17179869241,147,
17179869242,155,
17179869243,441,
17179869244,399,
17179869245,61,
17179869247,4,
17179869248,0,
17179869249,57,
17179869250,2,
17179869251,2,
17179869252,33,
17179869253,20,
17179869254,4,
17179869255,251,
17179869256,35,
17179869257,1084,
17179869258,0,
17179869259,0,
17179869260,1,
17179869261,105,
17179869262,109,
17179869264,85,
17179869265,313,
17179869271,63,
17179869273,174,
17179869275,0,
17179869276,24,
17179869277,273,
17179869278,149,
17179869281,198,
17179869282,3,
17179869284,5,
17179869285,37,
17179869286,189,
17179869287,1,
17179869289,109,
17179869291,0,
17179869292,2,
17179869293,113,
17179869295,10,
17179869296,123,
17179869298,361,
17179869300,1577,
17179869301,32,
17179869304,21,
17179869305,1367,
17179869307,69,
17179869309,11,
17179869310,105,
17179869311,136,
17179869312,1,
17179869313,0,
17179869314,169,
