,user_id,gender,income_level,age
286,17179869476,Female,Medium,< 18
287,17179869482,Male,High,35 - 44
288,17179869495,Female,Medium,35 - 44
289,17179869496,Female,Low,25 - 34
290,17179869509,Male,Medium,55+
291,17179869513,Male,Medium,25 - 34
292,17179869550,Male,Low,25 - 34
293,17179869565,Female,Medium,< 18
294,17179869574,Male,Medium,18 - 24
295,17179869583,Female,Low,< 18
296,17179869592,Male,Low,18 - 24
297,17179869594,Female,Low,< 18
298,17179869599,Male,Low,25 - 34
299,17179869604,Female,Medium,18 - 24
300,17179869608,Male,Medium,25 - 34
301,17179869610,Female,Low,18 - 24
303,17179869612,Male,Low,18 - 24
305,17179869625,Female,Medium,18 - 24
306,17179869644,Male,Medium,35 - 44
307,17179869693,Female,High,< 18
308,17179869710,Female,Medium,35 - 44
309,17179869711,Male,Medium,25 - 34
311,17179869718,Male,Low,18 - 24
312,17179869719,Male,Medium,18 - 24
313,17179869722,Female,Low,25 - 34
315,25769803810,Male,Low,< 18
325,25769803839,Female,Medium,35 - 44
327,25769803841,Male,Medium,18 - 24
328,25769803845,Male,Medium,18 - 24
329,25769803847,Male,Low,25 - 34
330,25769803848,Female,High,18 - 24
331,25769803849,Female,Medium,18 - 24
332,25769803850,Female,Low,25 - 34
333,25769803851,Male,Low,35 - 44
334,25769803853,Male,High,35 - 44
335,25769803854,Male,Low,25 - 34
336,25769803857,Male,Low,45 - 54
338,25769803859,Female,Medium,18 - 24
339,25769803860,Female,High,18 - 24
340,25769803861,Female,Low,< 18
341,25769803862,Female,High,< 18
343,25769803866,Female,Medium,25 - 34
344,25769803870,Male,Low,35 - 44
345,25769803871,Female,Medium,25 - 34
346,25769803872,Female,High,< 18
347,25769803873,Male,Low,35 - 44
348,25769803875,Female,High,25 - 34
349,25769803877,Female,Low,18 - 24
350,25769803878,Male,Low,25 - 34
351,25769803879,Male,Medium,25 - 34
353,25769803883,Female,Low,18 - 24
354,25769803885,Male,Medium,18 - 24
355,25769803886,Female,Low,25 - 34
356,25769803887,Male,Low,18 - 24
357,25769803889,Male,Medium,25 - 34
358,25769803892,Male,High,25 - 34
359,25769803894,Female,Low,< 18
360,25769803896,Female,Low,25 - 34
361,25769803899,Female,Medium,25 - 34
362,25769803900,Male,High,25 - 34
363,25769803905,Male,Medium,25 - 34
364,25769803916,Male,Medium,25 - 34
365,25769803917,Male,Medium,18 - 24
